SL NO,BRANDS,PRODUCTS,TOP NOTE,MIDDLE NOTE,BASE NOTE,DESCRIPTION,OCCASION
414,KILIAN,SMOKE FOR SOUL,"Grapefruit, Eucalyptus","Tobacco, Mate","Cannabis, Birch, Amber","Smoke For Soul by Kilian is a captivating fragrance that opens with grapefruit, eucalyptus, creating a fresh and inviting first impression. The heart reveals tobacco, mate, adding depth and sophistication, while the base of cannabis, birch leaves a smooth and long-lasting trail. An ideal scent for both everyday elegance and special occasions.",Office / Daily
415,KILIAN,BLACK PHANTOM,"Rum, Sugar","Coffee, Chocolate","Sandalwood, Caramel, Vanilla","Black Phantom by Kilian is a captivating fragrance that opens with rum, sugar, creating a fresh and inviting first impression. The heart reveals coffee, chocolate, adding depth and sophistication, while the base of sandalwood, caramel leaves a smooth and long-lasting trail. An ideal scent for both everyday elegance and special occasions.",Date Night / Evening
416,KILIAN,INTOXICATED,"Coffee, Cardamom","Cinnamon, Nutmeg","Vanilla, Amber, Sandalwood","Intoxicated by Kilian is a captivating fragrance that opens with coffee, cardamom, creating a fresh and inviting first impression. The heart reveals cinnamon, nutmeg, adding depth and sophistication, while the base of vanilla, amber leaves a smooth and long-lasting trail. An ideal scent for both everyday elegance and special occasions.",Office / Daily
417,KILIAN,PLAYING WITH THE DEVIL,"Blood Orange, Peach","Rose, Jasmine","Patchouli, Musk, Sandalwood","Playing With The Devil by Kilian is a captivating fragrance that opens with blood orange, peach, creating a fresh and inviting first impression. The heart reveals rose, jasmine, adding depth and sophistication, while the base of patchouli, musk leaves a smooth and long-lasting trail. An ideal scent for both everyday elegance and special occasions.",Date Night / Evening
418,KILIAN,ROSE OUD,"Saffron, Bergamot","Rose, Oud","Patchouli, Amber, Musk","Rose Oud by Kilian is a captivating fragrance that opens with saffron, bergamot, creating a fresh and inviting first impression. The heart reveals rose, oud, adding depth and sophistication, while the base of patchouli, amber leaves a smooth and long-lasting trail. An ideal scent for both everyday elegance and special occasions.",Date Night / Evening
419,KILIAN,STRAIGHT TO HEAVEN,"Rum, Dried Fruits","Cedarwood, Patchouli","Vanilla, Musk, Amber","Straight To Heaven by Kilian is a captivating fragrance that opens with rum, dried fruits, creating a fresh and inviting first impression. The heart reveals cedarwood, patchouli, adding depth and sophistication, while the base of vanilla, musk leaves a smooth and long-lasting trail. An ideal scent for both everyday elegance and special occasions.",Date Night / Evening
420,KILIAN,VODKA ON THE ROCKS,"Cardamom, Coriander","Rhubarb, Lily of Valley","Oakmoss, Sandalwood, Musk","Vodka On The Rocks by Kilian is a captivating fragrance that opens with cardamom, coriander, creating a fresh and inviting first impression. The heart reveals rhubarb, lily of valley, adding depth and sophistication, while the base of oakmoss, sandalwood leaves a smooth and long-lasting trail. An ideal scent for both everyday elegance and special occasions.",Date Night / Evening
421,LACOSTE,WHITE,"Grapefruit, Rosemary, Cardamom","Tuberose, Ylang-Ylang","Cedarwood, Suede, Vetiver","White by Lacoste is a captivating fragrance that opens with grapefruit, rosemary, creating a fresh and inviting first impression. The heart reveals tuberose, ylang-ylang, adding depth and sophistication, while the base of cedarwood, suede leaves a smooth and long-lasting trail. An ideal scent for both everyday elegance and special occasions.",Office / Daily
422,LACOSTE,GREEN,"Lime, Bergamot, Fig Leaf","Jasmine, Green Notes, Rose","Cedarwood, Musk, Patchouli","Green by Lacoste is a captivating fragrance that opens with lime, bergamot, creating a fresh and inviting first impression. The heart reveals jasmine, green notes, adding depth and sophistication, while the base of cedarwood, musk leaves a smooth and long-lasting trail. An ideal scent for both everyday elegance and special occasions.",Date Night / Evening
423,LANCOME,ABSOLUE LES PARFUM,"Bergamot, Saffron","Rose, Jasmine, Iris","Amber, Vanilla, Musk","Absolue Les Parfum by Lancome is a captivating fragrance that opens with bergamot, saffron, creating a fresh and inviting first impression. The heart reveals rose, jasmine, adding depth and sophistication, while the base of amber, vanilla leaves a smooth and long-lasting trail. An ideal scent for both everyday elegance and special occasions.",Office / Daily
424,LANCOME,L'AUTRE OUD EDP,"Bergamot, Raspberry","Rose, Oud, Patchouli","Amber, Sandalwood, Musk","L'Autre Oud Edp by Lancome is a captivating fragrance that opens with bergamot, raspberry, creating a fresh and inviting first impression. The heart reveals rose, oud, adding depth and sophistication, while the base of amber, sandalwood leaves a smooth and long-lasting trail. An ideal scent for both everyday elegance and special occasions.",Date Night / Evening
425,LANCOME,LA VIE EST BELLE EN ROSE,"Red Berries, Bergamot","Rose, Peony, Lily of Valley","Musk, Sandalwood, Iris","La Vie Est Belle En Rose by Lancome is a captivating fragrance that opens with red berries, bergamot, creating a fresh and inviting first impression. The heart reveals rose, peony, adding depth and sophistication, while the base of musk, sandalwood leaves a smooth and long-lasting trail. An ideal scent for both everyday elegance and special occasions.",Office / Daily
426,LANCOME,POEME,"Narcissus, Bergamot","Mimosa, Jasmine, Rose","Vanilla, Tonka Bean, Amber","Poeme by Lancome is a captivating fragrance that opens with narcissus, bergamot, creating a fresh and inviting first impression. The heart reveals mimosa, jasmine, adding depth and sophistication, while the base of vanilla, tonka bean leaves a smooth and long-lasting trail. An ideal scent for both everyday elegance and special occasions.",Office / Daily
427,LANCOME,LA VIE EST BELLE,"Blackcurrant, Pear","Iris, Jasmine, Orange Blossom","Patchouli, Vanilla, Tonka Bean","La Vie Est Belle by Lancome is a captivating fragrance that opens with blackcurrant, pear, creating a fresh and inviting first impression. The heart reveals iris, jasmine, adding depth and sophistication, while the base of patchouli, vanilla leaves a smooth and long-lasting trail. An ideal scent for both everyday elegance and special occasions.",Date Night / Evening
428,LANCOME,TRESOR MIDNIGHT ROSE,"Raspberry, Rose","Jasmine, Peony","Vanilla, Musk, Cedarwood","Tresor Midnight Rose by Lancome is a captivating fragrance that opens with raspberry, rose, creating a fresh and inviting first impression. The heart reveals jasmine, peony, adding depth and sophistication, while the base of vanilla, musk leaves a smooth and long-lasting trail. An ideal scent for both everyday elegance and special occasions.",Date Night / Evening
429,LANCOME,OUD BOUQUET,"Rose, Saffron","Oud, Patchouli","Praline, Vanilla, Amber","Oud Bouquet by Lancome is a captivating fragrance that opens with rose, saffron, creating a fresh and inviting first impression. The heart reveals oud, patchouli, adding depth and sophistication, while the base of praline, vanilla leaves a smooth and long-lasting trail. An ideal scent for both everyday elegance and special occasions.",Date Night / Evening
430,LANCOME,TRÃ‰SOR,"Peach, Apricot","Rose, Jasmine, Iris","Sandalwood, Amber, Musk","Trã‰Sor by Lancome is a captivating fragrance that opens with peach, apricot, creating a fresh and inviting first impression. The heart reveals rose, jasmine, adding depth and sophistication, while the base of sandalwood, amber leaves a smooth and long-lasting trail. An ideal scent for both everyday elegance and special occasions.",Date Night / Evening
431,LANCOME,LA VIE EST BELLE VANILLE NUDE,"Bergamot, Pear","Iris, Jasmine","Vanilla, Tonka Bean, Musk","La Vie Est Belle Vanille Nude by Lancome is a captivating fragrance that opens with bergamot, pear, creating a fresh and inviting first impression. The heart reveals iris, jasmine, adding depth and sophistication, while the base of vanilla, tonka bean leaves a smooth and long-lasting trail. An ideal scent for both everyday elegance and special occasions.",Date Night / Evening
432,LATTAFA,ASAD BOURBON,"Cinnamon, Pepper","Vanilla, Tobacco","Amber, Sandalwood, Musk","Asad Bourbon by Lattafa is a captivating fragrance that opens with cinnamon, pepper, creating a fresh and inviting first impression. The heart reveals vanilla, tobacco, adding depth and sophistication, while the base of amber, sandalwood leaves a smooth and long-lasting trail. An ideal scent for both everyday elegance and special occasions.",Date Night / Evening
433,LATTAFA,TERIAQ,"Citrus, Spices","Rose, Patchouli","Amber, Musk, Oud","Teriaq by Lattafa is a captivating fragrance that opens with citrus, spices, creating a fresh and inviting first impression. The heart reveals rose, patchouli, adding depth and sophistication, while the base of amber, musk leaves a smooth and long-lasting trail. An ideal scent for both everyday elegance and special occasions.",Formal / Special Occasions
434,LATTAFA,BADEE AL OUD HONOR & GLORY,"Pineapple, Bergamot","Jasmine, Vanilla","Oud, Amber, Musk","Badee Al Oud Honor & Glory by Lattafa is a captivating fragrance that opens with pineapple, bergamot, creating a fresh and inviting first impression. The heart reveals jasmine, vanilla, adding depth and sophistication, while the base of oud, amber leaves a smooth and long-lasting trail. An ideal scent for both everyday elegance and special occasions.",Date Night / Evening
435,LATTAFA,KHAMRAH DUKHAN,"Dates, Cinnamon","Praline, Tonka Bean","Amber, Vanilla, Musk","Khamrah Dukhan by Lattafa is a captivating fragrance that opens with dates, cinnamon, creating a fresh and inviting first impression. The heart reveals praline, tonka bean, adding depth and sophistication, while the base of amber, vanilla leaves a smooth and long-lasting trail. An ideal scent for both everyday elegance and special occasions.",Office / Daily
436,LATTAFA,YARA,"Tropical Fruits, Orchid","Vanilla, Jasmine","Musk, Sandalwood, Amber","Yara by Lattafa is a captivating fragrance that opens with tropical fruits, orchid, creating a fresh and inviting first impression. The heart reveals vanilla, jasmine, adding depth and sophistication, while the base of musk, sandalwood leaves a smooth and long-lasting trail. An ideal scent for both everyday elegance and special occasions.",Formal / Special Occasions
437,LATTAFA,ASAD,"Black Pepper, Pineapple","Coffee, Patchouli","Amber, Vanilla, Benzoin","Asad by Lattafa is a captivating fragrance that opens with black pepper, pineapple, creating a fresh and inviting first impression. The heart reveals coffee, patchouli, adding depth and sophistication, while the base of amber, vanilla leaves a smooth and long-lasting trail. An ideal scent for both everyday elegance and special occasions.",Date Night / Evening
438,LATTAFA,HAYAATI,"Apple, Bergamot","Lavender, Cinnamon","Amber, Musk, Vanilla","Hayaati by Lattafa is a captivating fragrance that opens with apple, bergamot, creating a fresh and inviting first impression. The heart reveals lavender, cinnamon, adding depth and sophistication, while the base of amber, musk leaves a smooth and long-lasting trail. An ideal scent for both everyday elegance and special occasions.",Formal / Special Occasions
439,LATTAFA,KHAMRAH,"Cinnamon, Dates","Praline, Vanilla","Tonka Bean, Amber, Musk","Khamrah by Lattafa is a captivating fragrance that opens with cinnamon, dates, creating a fresh and inviting first impression. The heart reveals praline, vanilla, adding depth and sophistication, while the base of tonka bean, amber leaves a smooth and long-lasting trail. An ideal scent for both everyday elegance and special occasions.",Office / Daily
440,LATTAFA,VELVET ROSE,"Rose, Citrus","Patchouli, Floral Notes","Musk, Amber, Sandalwood","Velvet Rose by Lattafa is a captivating fragrance that opens with rose, citrus, creating a fresh and inviting first impression. The heart reveals patchouli, floral notes, adding depth and sophistication, while the base of musk, amber leaves a smooth and long-lasting trail. An ideal scent for both everyday elegance and special occasions.",Office / Daily
441,LATTAFA,KHAMRAH QAHWA,"Coffee, Cinnamon","Dates, Vanilla","Tonka Bean, Amber, Musk","Khamrah Qahwa by Lattafa is a captivating fragrance that opens with coffee, cinnamon, creating a fresh and inviting first impression. The heart reveals dates, vanilla, adding depth and sophistication, while the base of tonka bean, amber leaves a smooth and long-lasting trail. An ideal scent for both everyday elegance and special occasions.",Formal / Special Occasions
