SL NO,BRANDS,PRODUCTS,TOP NOTE,MIDDLE NOTE,BASE NOTE,DESCRIPTION
480,MAISON FRANCIS KURKDJIAN,BACCARAT ROGUE 540,"Grapefruit, Mint","Lavender, Sage","Tonka Bean, Cedar, Musk","Discover Baccarat Rogue 540 by Maison Francis Kurkdjian, a refined fragrance crafted to make a lasting impression. It opens with grapefruit and fresh accords, develops into a smooth heart of lavender and elegant spices, then settles into a rich base of tonka bean and warm woods. Perfect for daily wear or special occasions with long-lasting appeal."
481,MAISON FRANCIS KURKDJIAN,OUDH SILK MOOD,"Saffron, Bergamot","Rose, Jasmine","Oud, Amber, Musk","Discover Oudh Silk Mood by Maison Francis Kurkdjian, a refined fragrance crafted to make a lasting impression. It opens with saffron and fresh accords, develops into a smooth heart of rose and elegant spices, then settles into a rich base of oud and warm woods. Perfect for daily wear or special occasions with long-lasting appeal."
482,MAISON FRANCIS KURKDJIAN,OUDH SATIN MOOD,"Saffron, Bergamot","Rose, Jasmine","Oud, Amber, Musk","Discover Oudh Satin Mood by Maison Francis Kurkdjian, a refined fragrance crafted to make a lasting impression. It opens with saffron and fresh accords, develops into a smooth heart of rose and elegant spices, then settles into a rich base of oud and warm woods. Perfect for daily wear or special occasions with long-lasting appeal."
483,MAISON FRANCIS KURKDJIAN,GRAND SOIR,"Grapefruit, Mint","Lavender, Sage","Tonka Bean, Cedar, Musk","Discover Grand Soir by Maison Francis Kurkdjian, a refined fragrance crafted to make a lasting impression. It opens with grapefruit and fresh accords, develops into a smooth heart of lavender and elegant spices, then settles into a rich base of tonka bean and warm woods. Perfect for daily wear or special occasions with long-lasting appeal."
484,MAISON FRANCIS KURKDJIAN,AQUA CELESTIA,"Marine Notes, Lemon","Lavender, Neroli","Musk, Cedarwood, Amber","Discover Aqua Celestia by Maison Francis Kurkdjian, a refined fragrance crafted to make a lasting impression. It opens with marine notes and fresh accords, develops into a smooth heart of lavender and elegant spices, then settles into a rich base of musk and warm woods. Perfect for daily wear or special occasions with long-lasting appeal."
485,MAISON FRANCIS KURKDJIAN,GENTLE FLUIDITY GOLD,"Mandarin, Saffron","Rose, Cinnamon","Amber, Vanilla, Oud","Discover Gentle Fluidity Gold by Maison Francis Kurkdjian, a refined fragrance crafted to make a lasting impression. It opens with mandarin and fresh accords, develops into a smooth heart of rose and elegant spices, then settles into a rich base of amber and warm woods. Perfect for daily wear or special occasions with long-lasting appeal."
486,MAISON FRANCIS KURKDJIAN,BR540 EXTRAIT,"Mandarin, Pear","Rose, Orange Blossom","Vanilla, Musk, Sandalwood","Discover Br540 Extrait by Maison Francis Kurkdjian, a refined fragrance crafted to make a lasting impression. It opens with mandarin and fresh accords, develops into a smooth heart of rose and elegant spices, then settles into a rich base of vanilla and warm woods. Perfect for daily wear or special occasions with long-lasting appeal."
487,MAISON FRANCIS KURKDJIAN,724 MAISON FRANCIS KURKDJIAN,"Apple, Bergamot","Lavender, Geranium","Cedarwood, Musk, Amber","Discover 724 Maison Francis Kurkdjian by Maison Francis Kurkdjian, a refined fragrance crafted to make a lasting impression. It opens with apple and fresh accords, develops into a smooth heart of lavender and elegant spices, then settles into a rich base of cedarwood and warm woods. Perfect for daily wear or special occasions with long-lasting appeal."
488,MAISON MARGIELA,REPLICA BY WHISPERS,"Apple, Bergamot","Lavender, Geranium","Cedarwood, Musk, Amber","Discover Replica By Whispers by Maison Margiela, a refined fragrance crafted to make a lasting impression. It opens with apple and fresh accords, develops into a smooth heart of lavender and elegant spices, then settles into a rich base of cedarwood and warm woods. Perfect for daily wear or special occasions with long-lasting appeal."
489,MAISON MARGIELA,FIREPLACE,"Grapefruit, Mint","Lavender, Sage","Tonka Bean, Cedar, Musk","Discover Fireplace by Maison Margiela, a refined fragrance crafted to make a lasting impression. It opens with grapefruit and fresh accords, develops into a smooth heart of lavender and elegant spices, then settles into a rich base of tonka bean and warm woods. Perfect for daily wear or special occasions with long-lasting appeal."
490,MAISON MARGIELA,LIPSTICK ON,"Lemon, Pink Pepper","Jasmine, Cardamom","Patchouli, Vetiver, Amber","Discover Lipstick On by Maison Margiela, a refined fragrance crafted to make a lasting impression. It opens with lemon and fresh accords, develops into a smooth heart of jasmine and elegant spices, then settles into a rich base of patchouli and warm woods. Perfect for daily wear or special occasions with long-lasting appeal."
491,MAISON MARGIELA,JAZZ CLUB,"Apple, Bergamot","Lavender, Geranium","Cedarwood, Musk, Amber","Discover Jazz Club by Maison Margiela, a refined fragrance crafted to make a lasting impression. It opens with apple and fresh accords, develops into a smooth heart of lavender and elegant spices, then settles into a rich base of cedarwood and warm woods. Perfect for daily wear or special occasions with long-lasting appeal."
492,MAISON MARGIELA,BUBBLE BATH,"Mandarin, Pear","Rose, Orange Blossom","Vanilla, Musk, Sandalwood","Discover Bubble Bath by Maison Margiela, a refined fragrance crafted to make a lasting impression. It opens with mandarin and fresh accords, develops into a smooth heart of rose and elegant spices, then settles into a rich base of vanilla and warm woods. Perfect for daily wear or special occasions with long-lasting appeal."
493,MAISON MARGIELA,AUTUMN VIBES,"Lemon, Pink Pepper","Jasmine, Cardamom","Patchouli, Vetiver, Amber","Discover Autumn Vibes by Maison Margiela, a refined fragrance crafted to make a lasting impression. It opens with lemon and fresh accords, develops into a smooth heart of jasmine and elegant spices, then settles into a rich base of patchouli and warm woods. Perfect for daily wear or special occasions with long-lasting appeal."
494,MANCERA,AMORE CAFFÈ,"Mandarin, Pear","Rose, Orange Blossom","Vanilla, Musk, Sandalwood","Discover Amore Caffè by Mancera, a refined fragrance crafted to make a lasting impression. It opens with mandarin and fresh accords, develops into a smooth heart of rose and elegant spices, then settles into a rich base of vanilla and warm woods. Perfect for daily wear or special occasions with long-lasting appeal."
495,MANCERA,XPLICIT VANILLA,"Citrus, Pear","Jasmine, Tonka Bean","Vanilla, Amber, Sandalwood","Discover Xplicit Vanilla by Mancera, a refined fragrance crafted to make a lasting impression. It opens with citrus and fresh accords, develops into a smooth heart of jasmine and elegant spices, then settles into a rich base of vanilla and warm woods. Perfect for daily wear or special occasions with long-lasting appeal."
496,MANCERA,CEDRAT BOISE -,"Apple, Bergamot","Lavender, Geranium","Cedarwood, Musk, Amber","Discover Cedrat Boise - by Mancera, a refined fragrance crafted to make a lasting impression. It opens with apple and fresh accords, develops into a smooth heart of lavender and elegant spices, then settles into a rich base of cedarwood and warm woods. Perfect for daily wear or special occasions with long-lasting appeal."
497,MANCERA,AOUD VANILLE,"Saffron, Bergamot","Rose, Jasmine","Oud, Amber, Musk","Discover Aoud Vanille by Mancera, a refined fragrance crafted to make a lasting impression. It opens with saffron and fresh accords, develops into a smooth heart of rose and elegant spices, then settles into a rich base of oud and warm woods. Perfect for daily wear or special occasions with long-lasting appeal."
498,MANCERA,AOUD LEMON AND MINT,"Saffron, Bergamot","Rose, Jasmine","Oud, Amber, Musk","Discover Aoud Lemon And Mint by Mancera, a refined fragrance crafted to make a lasting impression. It opens with saffron and fresh accords, develops into a smooth heart of rose and elegant spices, then settles into a rich base of oud and warm woods. Perfect for daily wear or special occasions with long-lasting appeal."
499,MANCERA,RED TOBACCO,"Lemon, Pink Pepper","Jasmine, Cardamom","Patchouli, Vetiver, Amber","Discover Red Tobacco by Mancera, a refined fragrance crafted to make a lasting impression. It opens with lemon and fresh accords, develops into a smooth heart of jasmine and elegant spices, then settles into a rich base of patchouli and warm woods. Perfect for daily wear or special occasions with long-lasting appeal."
500,MANCERA,ROSES VANILLA,"Lychee, Bergamot","Rose, Peony","Musk, Patchouli, Vanilla","Discover Roses Vanilla by Mancera, a refined fragrance crafted to make a lasting impression. It opens with lychee and fresh accords, develops into a smooth heart of rose and elegant spices, then settles into a rich base of musk and warm woods. Perfect for daily wear or special occasions with long-lasting appeal."
501,MANCERA,GOLD INTENSIVE AOUD,"Saffron, Bergamot","Rose, Jasmine","Oud, Amber, Musk","Discover Gold Intensive Aoud by Mancera, a refined fragrance crafted to make a lasting impression. It opens with saffron and fresh accords, develops into a smooth heart of rose and elegant spices, then settles into a rich base of oud and warm woods. Perfect for daily wear or special occasions with long-lasting appeal."
502,MANCERA,CRAZY FOR OUDH,"Saffron, Bergamot","Rose, Jasmine","Oud, Amber, Musk","Discover Crazy For Oudh by Mancera, a refined fragrance crafted to make a lasting impression. It opens with saffron and fresh accords, develops into a smooth heart of rose and elegant spices, then settles into a rich base of oud and warm woods. Perfect for daily wear or special occasions with long-lasting appeal."
503,MANCERA,HINDU KUSH,"Grapefruit, Mint","Lavender, Sage","Tonka Bean, Cedar, Musk","Discover Hindu Kush by Mancera, a refined fragrance crafted to make a lasting impression. It opens with grapefruit and fresh accords, develops into a smooth heart of lavender and elegant spices, then settles into a rich base of tonka bean and warm woods. Perfect for daily wear or special occasions with long-lasting appeal."
504,MANCERA,BLACK VANILLA,"Citrus, Pear","Jasmine, Tonka Bean","Vanilla, Amber, Sandalwood","Discover Black Vanilla by Mancera, a refined fragrance crafted to make a lasting impression. It opens with citrus and fresh accords, develops into a smooth heart of jasmine and elegant spices, then settles into a rich base of vanilla and warm woods. Perfect for daily wear or special occasions with long-lasting appeal."
505,MARC JACOBS,DAISY,"Lemon, Pink Pepper","Jasmine, Cardamom","Patchouli, Vetiver, Amber","Discover Daisy by Marc Jacobs, a refined fragrance crafted to make a lasting impression. It opens with lemon and fresh accords, develops into a smooth heart of jasmine and elegant spices, then settles into a rich base of patchouli and warm woods. Perfect for daily wear or special occasions with long-lasting appeal."
506,MATIERE PREMIERE,CRYSTAL SAFFRON,"Lemon, Pink Pepper","Jasmine, Cardamom","Patchouli, Vetiver, Amber","Discover Crystal Saffron by Matiere Premiere, a refined fragrance crafted to make a lasting impression. It opens with lemon and fresh accords, develops into a smooth heart of jasmine and elegant spices, then settles into a rich base of patchouli and warm woods. Perfect for daily wear or special occasions with long-lasting appeal."
507,MATIERE PREMIERE,FALCON LEATHER,"Mandarin, Pear","Rose, Orange Blossom","Vanilla, Musk, Sandalwood","Discover Falcon Leather by Matiere Premiere, a refined fragrance crafted to make a lasting impression. It opens with mandarin and fresh accords, develops into a smooth heart of rose and elegant spices, then settles into a rich base of vanilla and warm woods. Perfect for daily wear or special occasions with long-lasting appeal."
508,MEMO PARIS,IRISH LEATHER,"Apple, Bergamot","Lavender, Geranium","Cedarwood, Musk, Amber","Discover Irish Leather by Memo Paris, a refined fragrance crafted to make a lasting impression. It opens with apple and fresh accords, develops into a smooth heart of lavender and elegant spices, then settles into a rich base of cedarwood and warm woods. Perfect for daily wear or special occasions with long-lasting appeal."
